YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.
In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.
You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Felipe Sanz,1,1,New Premise,Felipe Sanz.png,https://www.linkedin.com/in/felipesanze/,,,,The Exam Moved to Monday: Agent Memory That Knows What to Forget,"Most agent memory starts as an append-only log: embed what the user said, store it, retrieve the nearest matches later. Then a student tells their AI tutor the midterm is Thursday, and a week later says it moved to Monday. Both facts are now in the vector store, and similarity search has no way to know the second cancels the first.

This talk walks through the long-term memory I designed and built for an AI tutor used by university students. Every extracted fact ends in one of four operations: add, update, delete, or ignore. Vector similarity only finds the closest existing memory. A small LLM picks the operation, because embeddings show that two sentences concern the same exam and say nothing about which is still true.

I'll cover the rest of the pipeline too: a cheap router that skips the nine turns in ten with nothing worth remembering, six education-specific memory categories, twenty recalled candidates reranked to five, and a chat that keeps answering when memory fails. I'll also cover the failure modes this design brings, including two data stores written without a transaction and background writes that a deploy can drop.

You'll leave with the four-operation merge loop and a checklist of failure modes for your own memory layer.",,"Felipe Sanz is the founder of [New Premise](https://newpremise.ai/), an Austin consultancy that helps companies put AI to work one department at a time and measures the result in return on investment. Before New Premise, he designed and built the long-term memory system and the evaluation process for an AI tutor used by university students, following three and a half years at Celonis building machine learning for the global go-to-market organization. Felipe has also volunteered with Austin AI Hub, building AI tools for nonprofits that fight human trafficking, and guest lectured on advanced databases at IE University. He writes about AI at felipe-sanz.com."
