YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.
In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.
You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Felipe Sanz,1,1,New Premise,Felipe Sanz.png,https://www.linkedin.com/in/felipesanze/,,,,The Exam Moved to Monday: Agent Memory That Knows What to Forget,"Most agent memory starts as an append-only log: embed what the user said, store it, retrieve the nearest matches later. Then a student tells their AI tutor the midterm is Thursday, and a week later says it moved to Monday. Both facts are now in the vector store, and similarity search has no way to know the second cancels the first.
This talk walks through the long-term memory I designed and built for an AI tutor used by university students. Every extracted fact ends in one of four operations: add, update, delete, or ignore. Vector similarity only finds the closest existing memory. A small LLM picks the operation, because embeddings show that two sentences concern the same exam and say nothing about which is still true.
I'll cover the rest of the pipeline too: a cheap router that skips the nine turns in ten with nothing worth remembering, six education-specific memory categories, twenty recalled candidates reranked to five, and a chat that keeps answering when memory fails. I'll also cover the failure modes this design brings, including two data stores written without a transaction and background writes that a deploy can drop.
You'll leave with the four-operation merge loop and a checklist of failure modes for your own memory layer.",,"Felipe Sanz is the founder of [New Premise](https://newpremise.ai/), an Austin consultancy that helps companies put AI to work one department at a time and measures the result in return on investment. Before New Premise, he designed and built the long-term memory system and the evaluation process for an AI tutor used by university students, following three and a half years at Celonis building machine learning for the global go-to-market organization. Felipe has also volunteered with Austin AI Hub, building AI tools for nonprofits that fight human trafficking, and guest lectured on advanced databases at IE University. He writes about AI at felipe-sanz.com."
,confirmed,Byron Ellis,1,1,Faros,Byron Ellis.png,https://www.linkedin.com/in/byellis/,,,,Preventing a Software Dark Age,"As organizations adopt agentic engineering, planning, iteration, and PR reviews are all occurring via agents without much in the way of visibility. Architectural decisions and design context are moving transient AI session transcripts rather than durable engineering artifacts that have been the foundation of developing reliable software. It’s not that the work of design and review isn’t happening, it’s that we’re in a dark age where the record of it is deleted due to a 30 day retention policy because unlike traditional SDLC artifacts we can’t be sure it doesn’t contain sensitive data. In this talk we’ll cover some ideas on how we as an industry can start to dig into this session data not only to understand ROI but also perhaps to generate new durable artifacts that actually let us produce more reliable software than we could before.",,Byron recently joined Faros.ai with the suitably ambiguous title “Member of Technical Staff” to build tools that help organizations fully adopt agentic development practices after going through the process first hand. He came to Faros.ai from Linked in where he was a Principal Staff Engineer at LinkedIn where he focused on large scale Data Infrastructure projects. Prior to that he spent time in Google Cloud on the BigQuery and Dataflow teams as well as YouTube where he spent several years working on Trust and Safety infrastructure.
,confirmed,Prasad M K,1,1,Wipro,Prasad M K.png,https://www.linkedin.com/in/prasad-m-k/,,,,Your Logs Vanished and Nothing Errored: Three Ways Kubernetes Drops Logs Silently,"Kubernetes loses container logs in three ways that never reach the application: kubelet rotation lag under heavy writes, disk-pressure eviction that deletes a pod's log directory, and a race between rotation and the log shipper's read cycle. Each one is documented in Kubernetes and Fluent Bit issue trackers (#110630, #134324, #10414), but nobody ties them together. I'll show how application-level sequence markers make these gaps visible, and how to classify each gap by cause using kubelet events and node conditions. Attendees leave with the settings to tune and a simple way to detect loss in their own pipelines.",,"Prasad M.K. is a Cloud Solution Architect and Full Stack SRE with 25+ years of experience engineering high-availability systems for Fortune 500 accounts. He specializes in Kubernetes, large-scale data pipelines (Kafka/Pulsar), and agentic AI architectures on AWS Bedrock. Prasad is the author of DAY ONE AI and regularly publishes research on AI agent governance and system design."
,confirmed,Sergey Sergeev,1,1,Splunk (Cisco),Sergey Sergeev.png,https://www.linkedin.com/in/sesergeev,,,,From Agent Chaos to Voice-Driven Flow: Building a Self-Improving Knowledge Management Suite,"A year ago my “AI-assisted” workflow was still manual: open five coding agents, chase which session owned which task, paste context by hand, and discover merge conflicts only when something already hurt. The agents were smart; the *system* was not. I kept losing the plot between ideation, implementation, and “wait, who has the worktree?”
So I built the coordination layer I wished existed—and then I made the suite run itself. What started as a personal knowledge board became a voice-driven dashboard with automated implementers that claim work, track sessions, and keep a living queue. Auto-ideation surfaces the next cuts. A “merge doctor” watches for conflict and repair cases instead of letting mid-merge worktrees become archaeology. When an implementation stack needs a human, it doesn’t wait for me to refresh a browser—it reaches me on the voice terminal I’m already using.
The interesting part isn’t any single feature. It’s the before/after: from fragmented agent babysitting to a self-optimizing loop where every painful failure—stale pulls, stuck claims, silent merge flakes—becomes a product requirement the next day. The tool improves the workflow; the workflow feeds the tool.
In twenty-five minutes I’ll walk the architecture as lived experience: what broke, what we automated, where humans still belong, and what I’d change if I were demoing this to strangers instead of myself. Bring scars and opinions—I want both.",,"Sergey Sergeev is a Senior Staff Engineering Architect for Observability for AI at Splunk (Cisco). He took AI Agent Monitoring from hackathon demo to GA, contributes to the OpenTelemetry GenAI Semantic Conventions SIG, and designs production instrumentation and evaluation systems for agentic workloads. He holds two US patents and has 20+ years building high-scale distributed data systems."
